param,mean,sd,q5,q50,q95,rhat,ess
mu_player[35],-1.91303,0.0406818,-1.97955,-1.91251,-1.84812,1.00448,2941.05
mu_player[36],-1.76824,0.0283115,-1.81499,-1.76848,-1.72122,0.998884,3600.31
mu_player[37],-1.13352,0.019651,-1.16577,-1.13318,-1.10148,1.00231,3843.3
mu_player[38],-1.81174,0.0340257,-1.86542,-1.81353,-1.75718,1.0004,3939.82
mu_player[39],-1.74653,0.0249284,-1.78821,-1.74642,-1.70544,0.998725,3196.85
mu_player[40],-2.01087,0.0513044,-2.0921,-2.01117,-1.92828,1.00291,2686.86
mu_player[41],-1.54792,0.0248619,-1.58997,-1.5481,-1.50733,0.99904,3227.32
mu_player[42],-1.0175,0.0226148,-1.05558,-1.01763,-0.978664,1.01116,2290.82
mu_player[43],-1.73676,0.0364569,-1.7987,-1.73785,-1.67663,1.00216,3582.82
mu_player[44],-2.1856,0.0361195,-2.24821,-2.1845,-2.12824,1.00847,5100.27
mu_player[45],-1.90265,0.0351952,-1.96222,-1.90236,-1.84677,1.00059,3509.87
mu_player[46],-2.05626,0.040703,-2.12396,-2.05553,-1.99061,1.00162,3282.22
mu_player[47],-1.42803,0.0301998,-1.48001,-1.42808,-1.37739,1.00212,2859.76
mu_player[48],-2.17117,0.0488435,-2.25037,-2.1737,-2.08914,1.00623,3624.18
mu_player[49],-2.01415,0.0297214,-2.06413,-2.01424,-1.96682,1.00358,4336.04
mu_player[50],-1.12006,0.0325528,-1.17213,-1.12102,-1.06359,1.00498,1602.05
mu_player[51],-1.25957,0.0251387,-1.30063,-1.26035,-1.2177,1.00066,3164.71
mu_player[52],-1.56125,0.021399,-1.59603,-1.56129,-1.5275,1.00188,4833.61
mu_player[53],-2.09856,0.0355615,-2.15903,-2.09875,-2.0404,1.00145,4000.96
mu_player[54],-1.40439,0.0213455,-1.43945,-1.40383,-1.37082,1.00328,3384.32
mu_player[55],-2.19854,0.0285135,-2.24449,-2.19829,-2.15219,1.0053,3557.88
mu_player[56],-1.18645,0.041623,-1.254,-1.18658,-1.11714,1.00568,3165.66
mu_player[57],-2.17648,0.0262564,-2.2218,-2.17654,-2.13342,0.999966,2832.45
mu_player[58],-1.79564,0.0304042,-1.84608,-1.79615,-1.74258,1.00066,3129.66
mu_player[59],-2.29031,0.0321641,-2.34314,-2.29039,-2.23821,1.00003,3655.56
mu_player[60],-2.23726,0.041458,-2.3057,-2.23698,-2.16932,1.00194,4052.5
mu_player[61],-1.91958,0.0332733,-1.9755,-1.91918,-1.86556,1.00163,3134.62
mu_player[62],-1.94166,0.0436204,-2.01299,-1.94092,-1.8706,1.00217,3545.02
mu_player[63],-2.34009,0.0473732,-2.41904,-2.3395,-2.26422,1.00082,2807.38
mu_player[64],-2.09847,0.0544663,-2.18709,-2.09904,-2.00721,1.00441,3213.08
mu_player[65],-2.39909,0.0673345,-2.50687,-2.39843,-2.28819,1.00172,3152.29
mu_player[66],-1.60133,0.0435467,-1.67381,-1.60114,-1.53142,0.999469,3276.39
