coc_number,year,rent_coc,income_coc,homeless_per_10k,unsheltered_per_10k,total_population
GA-506,2021,1413.0,88029.0,3.459694558394702,0.0,728388.0
GA-506,2022,1641.0,97084.0,5.2169997309126455,1.6749314925561651,728388.0
GA-506,2023,1740.0,99382.0,5.999549690549542,1.6749314925561651,728388.0
GA-506,2024,1758.0,102356.0,5.73869970400391,2.0593419990444652,728388.0
GA-507,2012,898.0,42390.0,39.55939747994608,22.32735224494273,282613.0
GA-507,2013,903.0,45263.0,41.222449073467956,22.008895556821518,282613.0
GA-507,2014,933.0,50718.0,46.53006054215482,26.219600655313094,282613.0
GA-507,2015,999.0,49252.0,38.92248410370365,18.470487911030276,282613.0
GA-507,2016,992.0,53964.0,37.86096180996628,18.293567528740716,282613.0
GA-507,2017,1016.0,55352.0,32.76565480002689,12.844419754222205,282613.0
GA-507,2018,1060.0,55308.0,35.70253314603362,16.418211476471356,282613.0
GA-507,2019,1093.0,57611.0,24.273476450127912,8.173721661777765,282613.0
GA-507,2021,1216.0,61843.0,19.390473898936,8.032185355946117,282613.0
GA-507,2022,1359.0,64157.0,18.50587198748819,4.741466245360263,282613.0
GA-507,2023,1485.0,70904.0,26.361136961144744,9.589084720094263,282613.0
GA-507,2024,1613.0,75063.0,20.487380269131286,6.829126756377096,282613.0
GA-508,2012,942.0000000000001,49093.0,,,693150.0
GA-508,2013,941.0000000000001,49796.0,10.286373800764625,3.0873548294020057,693150.0
GA-508,2014,975.0,50542.0,11.555940272668254,4.053956575055904,693150.0
GA-508,2015,1057.0,54057.0,9.867993940705475,2.8420976700569867,693150.0
GA-508,2016,1065.0,56109.0,6.823919786482002,2.27944889273606,693150.0
GA-508,2017,1123.0,61826.99999999999,6.636370194041693,2.668974969342855,693150.0
GA-508,2018,1172.0,64460.99999999999,4.631032244103008,2.063045516843396,693150.0
GA-508,2019,1260.0,63652.0,5.410084397316598,2.8420976700569867,693150.0
GA-508,2021,1363.0,70985.0,2.885378345235519,0.0,693150.0
GA-508,2022,1584.0000000000002,77169.0,8.151193825290342,2.351583351366948,693150.0
GA-508,2023,1707.0,77861.0,6.3189785760657875,3.274904421842314,693150.0
GA-508,2024,1760.9999999999998,81564.0,4.645459135829185,2.5535598355334344,693150.0
