state,overall_homeless,unsheltered,chronic_ind,ppl_in_families,individuals,shelt_es,shelt_th,year,population,cb_share,severe_share,renter_hh_total,unsheltered_share,chronic_share,family_share,es_share,th_share,homeless_per_10k
SD,859.0,64.0,113.0,347.0,512.0,514.0,281.0,2012,833354.0,0.4079278151567308,0.1628853074636207,106565.0,0.07450523864959255,0.13154831199068684,0.4039580908032596,0.5983701979045402,0.32712456344586727,10.307744367939675
SD,1094.0,339.0,117.0,537.0,557.0,433.0,322.0,2013,844877.0,0.39680836125097796,0.17194928684627575,108597.0,0.30987202925045704,0.10694698354661791,0.49085923217550276,0.39579524680073125,0.2943327239488117,12.94863039235297
SD,885.0,55.0,81.0,395.0,490.0,528.0,302.0,2014,853175.0,0.39272416843231234,0.18819040174438936,106465.0,0.062146892655367235,0.09152542372881356,0.4463276836158192,0.5966101694915255,0.34124293785310733,10.373018431154218
SD,1036.0,136.0,85.0,406.0,630.0,642.0,258.0,2015,858469.0,0.4081978698128725,0.19445826437470173,107985.0,0.13127413127413126,0.08204633204633205,0.3918918918918919,0.6196911196911197,0.24903474903474904,12.06799546634765
SD,1072.0,185.0,34.0,524.0,548.0,616.0,271.0,2016,865454.0,0.4082022843071502,0.18755943502937966,109544.0,0.17257462686567165,0.03171641791044776,0.48880597014925375,0.5746268656716418,0.25279850746268656,12.386562428505734
SD,943.0,171.0,101.0,332.0,611.0,590.0,182.0,2017,869666.0,0.4083169740908473,0.20997492662636785,111168.0,0.18133616118769882,0.1071049840933192,0.352067868504772,0.6256627783669141,0.19300106044538706,10.843243268105226
SD,1159.0,285.0,115.0,323.0,836.0,707.0,167.0,2018,882235.0,0.4103852596314908,0.17193108399138549,110962.0,0.2459016393442623,0.0992234685073339,0.2786885245901639,0.6100086281276963,0.14408973252804141,13.137089324273012
SD,995.0,234.0,81.0,270.0,725.0,681.0,80.0,2019,884659.0,0.3964559563392433,0.15808606132281236,113868.0,0.23517587939698492,0.0814070351758794,0.271356783919598,0.6844221105527638,0.08040201005025126,11.247271547568047
SD,1058.0,246.0,119.0,315.0,743.0,751.0,61.0,2020,879336.0,,,,0.23251417769376181,0.11247637051039698,0.29773156899810965,0.7098298676748582,0.057655954631379965,12.03180581711655
SD,817.0,0.0,51.0,300.0,517.0,718.0,99.0,2021,895376.0,0.38655776481648085,0.16691095454223823,109257.0,0.0,0.06242350061199511,0.3671970624235006,0.8788249694002448,0.1211750305997552,9.124658244134308
SD,1389.0,342.0,131.0,418.0,971.0,954.0,93.0,2022,909824.0,0.39393105616917573,0.19384065091780983,111974.0,0.24622030237580994,0.09431245500359971,0.30093592512598993,0.6868250539956804,0.06695464362850972,15.26668894203714
SD,1282.0,310.0,201.0,299.0,983.0,851.0,121.0,2023,919318.0,0.41284292076799284,0.19386953104532356,115920.0,0.24180967238689546,0.15678627145085802,0.23322932917316694,0.6638065522620905,0.09438377535101404,13.945120186921175
SD,1338.0,227.0,151.0,294.0,1044.0,912.0,199.0,2024,924669.0,0.4189979596463387,0.16776241215143958,121224.0,0.1696562032884903,0.11285500747384156,0.21973094170403587,0.6816143497757847,0.14872944693572496,14.47004279369158
TN,11210.0,4764.0,2767.0,2748.0,8462.0,3587.0,2859.0,2007,6156719.0,0.45759659209019915,0.2303115953944817,723835.0,0.42497769848349687,0.24683318465655665,0.24513826940231936,0.3199821587867975,0.2550401427297056,18.2077499395376
TN,9705.0,4045.0,3364.0,2463.0,7242.0,2975.0,2685.0,2008,6214888.0,0.47978510843417466,0.24407649239546617,734546.0,0.416795466254508,0.34662545079855744,0.25378670788253477,0.306543019062339,0.27666151468315303,15.615727910140938
TN,10532.0,3399.0,2632.0,2484.0,8048.0,4468.0,2665.0,2009,6296254.0,0.5096441789166585,0.2711603584031531,754909.0,0.3227307254082795,0.24990505127231294,0.2358526395746297,0.4242309153057349,0.25303835928598556,16.727406486460044
TN,10276.0,3277.0,2495.0,2653.0,7623.0,4372.0,2605.0,2010,6356897.0,0.5266982301719075,0.2713325551213358,777895.0,0.3188984040482678,0.24279875437913584,0.25817438692098094,0.4254573764110549,0.25350330868042037,16.165119554398945
TN,9113.0,3198.0,1661.0,2638.0,6475.0,3007.0,2888.0,2011,6403353.0,0.5285659754921902,0.27023788958668843,807352.0,0.3509272467902996,0.18226709096894547,0.2894765719302096,0.3299681773290903,0.3169099089213212,14.231606472421559
TN,9426.0,3648.0,2114.0,2521.0,6905.0,2863.0,2895.0,2012,6456243.0,0.5104902260398817,0.25518440095611267,826089.0,0.3870146403564608,0.22427328665393592,0.267451729259495,0.3037343517929132,0.307129217059198,14.599822218587498
TN,9528.0,3207.0,1929.0,2619.0,6909.0,3421.0,2881.0,2013,6495978.0,0.5020393682057457,0.25028524276881026,837273.0,0.3365869017632242,0.202455919395466,0.2748740554156171,0.35904701931150296,0.30237195633921077,14.667537359270614
TN,9415.0,3032.0,1904.0,2615.0,6800.0,4160.0,2206.0,2014,6549352.0,0.5084440878274288,0.2571720008443432,849868.0,0.32203929899097183,0.20223048327137547,0.27774827403080193,0.44184811471056823,0.2343069569835369,14.375467985229683
TN,9123.0,3244.0,1492.0,2607.0,6516.0,3540.0,2324.0,2015,6600299.0,0.4840249833298577,0.2303079921425059,864762.0,0.3555847857064562,0.16354269428915927,0.2857612627425189,0.3880302532061822,0.25474076509919985,13.822101089662757
TN,8779.0,3006.0,1640.0,2127.0,6652.0,3729.0,2037.0,2016,6651194.0,0.472475894663731,0.22162968024084612,892314.0,0.3424080191365759,0.1868094315981319,0.24228272012757718,0.4247636405057524,0.2320309830276797,13.199133869798414
TN,8309.0,2765.0,1295.0,2172.0,6137.0,3896.0,1642.0,2017,6715984.0,0.4545398111096902,0.20885204502874824,894865.0,0.33277169334456613,0.15585509688289806,0.2614032976290769,0.4688891563365026,0.1976170417619449,12.371977062482578
TN,7883.0,2855.0,1556.0,1744.0,6139.0,3547.0,1470.0,2018,6770010.0,0.48744354246511956,0.2284354850066894,879156.0,0.3621717620195357,0.19738678168210072,0.2212355702143854,0.44995560065964735,0.186477229481162,11.644000525848558
