coc_number,emp_2012,emp_2023,employment_growth_12_23,avg_weekly_wage_2012,avg_weekly_wage_2023,inmig_persons,in_migration_rate,pop_2012,pop_2024,population_growth_12_24
CA-529,14244.0,16568.0,0.16315641673687167,664.0,975.0,2366.0,0.036924901679255884,64360.0,68152.0,0.05891858297078931
CA-530,14410.0,16655.0,0.15579458709229702,701.1678001387925,1041.1457220054037,1450.0,0.04320491046154763,33852.0,33503.0,-0.010309582890228052
CA-600,3656732.2769624195,4110008.181007251,0.12395654636804848,1067.0,1550.0,163254.42215934818,0.01765568891003469,9046931.462972177,9018101.79447905,-0.003186679219481572
CA-601,1275170.0,1525913.0,0.19663495847612475,1039.0,1532.0,110134.0,0.03385242807734536,3100500.0,3288774.0,0.060723754233188196
CA-602,1403606.0,1645472.0,0.17231758769911215,1065.0,1498.0,90964.0,0.029041466235831495,3021840.0,3165820.0,0.04764646705318614
CA-603,183920.0,215839.0,0.173548281861679,894.0,1266.0,12033.0,0.027385382173215445,423594.0,443701.0,0.04746762229871056
CA-604,294426.0,343323.0,0.16607568625053493,823.0,1109.0,23856.0,0.02737861470361066,839153.0,915075.0,0.09047456184986528
CA-606,187973.32626861162,211273.85060218308,0.12395654636804848,1067.0,1550.0,8392.049085650957,0.017655688910034686,465055.04664171895,463573.0653886707,-0.0031866792194816394
CA-607,54329.980909809994,61064.53770763204,0.12395654636804831,1067.0,1550.0,2425.556198149477,0.0176556889100347,134414.98486838478,133986.64742931776,-0.0031866792194816447
CA-608,572351.0,820248.0,0.43312058509550955,752.0,1108.0,101381.0,0.0436255213237104,2192982.0,2478600.0,0.1302418350903017
CA-609,612986.0,839180.0,0.3690035335227885,793.0,1146.0,85417.0,0.040544363508981114,2041029.0,2197104.0,0.07646878118831237
CA-611,305271.0,330058.0,0.08119670718803948,967.0,1303.0,24951.0,0.02959400315498571,822794.0,837469.0,0.017835570021171764
CA-612,78261.41585915704,87962.43068293176,0.12395654636804841,1067.0,1550.0000000000002,3493.9725568513186,0.017655688910034707,193622.50551771364,193005.49270295637,-0.0031866792194816473
CA-613,59010.0,65766.0,0.114489069649212,678.0,1020.0,4604.0,0.02574843266762487,173487.0,180202.0,0.03870607019546133
CA-614,105068.0,120452.0,0.14641946168195835,766.0,1148.0,10128.0,0.036342758719678486,270121.0,281555.0,0.04232917840523321
CO-500,631967.0,762825.0,0.2070646093862496,751.6503345902555,1149.4328489496281,105429.0,0.0626167802446728,1622219.0,1848452.0,0.13945897563769133
CO-503,1374197.567252181,1776397.1876798263,0.29267961900986034,1084.0739066928325,1654.5988478850943,245682.23045479262,0.08196850422009605,2785699.632911577,3256233.4419690943,0.16891046094790976
CO-504,237705.0,307454.0,0.2934267264045771,858.0,1244.0,51130.0,0.07686745212885107,622816.0,742999.0,0.192967104249088
CT-503,371580.5973802539,378593.68323035445,0.018873659979947163,1602.0000000000002,2074.0,,,837026.6895662571,,
CT-505,1210720.7553378372,1241332.590811976,0.02528397678752685,1054.3988110223931,1428.1300564697144,257.32657331401884,9.403990831380389e-05,2740715.615177828,,
DC-500,714930.0,757701.0,0.059825437455415215,1592.0,2267.0,42408.0,0.06435116971088407,605759.0,681294.0,0.12469480436939442
DE-500,396566.0,461221.0,0.16303717413999183,988.8087934921299,1322.9913794038,43814.0,0.046875183883512805,900131.0,1021191.0,0.13449153512099907
FL-500,242155.0,327639.0,0.353013565691396,743.2949557101856,1161.6531731570417,62664.0,0.0833938851936728,705313.0,889339.0,0.26091394884257063
FL-501,586000.0,780078.0,0.33119112627986347,902.0,1373.0,81755.0,0.06179240683899962,1238365.0,1522748.0,0.22964392566004369
FL-502,382489.0,452927.0,0.18415693000321579,845.0,1239.0,47103.0,0.050133681302072915,917389.0,963481.0,0.0502425906567443
FL-503,190448.0,258740.0,0.3585860707384693,711.0,1026.0,57661.0,0.09042153644947161,604562.0,790694.0,0.307879092632352
FL-504,169291.0,213854.0,0.263233131117425,662.0043593575559,990.2287541967885,45306.0,0.07382157748691184,591568.0,706150.0,0.1936920184999865
FL-505,96273.0,124230.0,0.2903929450624786,728.0803444371735,1117.6041052885776,25448.0,0.09889400993292555,238749.0,299547.0,0.25465237550733194
FL-506,173451.0,203309.0,0.17214083516382148,738.0230727986578,1083.1128577682248,21413.0,0.04894746827775225,429935.0,451562.0,0.05030295277193064
FL-507,913638.0,1260199.0,0.37931981813365906,801.1191981944709,1214.6226318224344,159351.0,0.07924275531323442,1849539.0,2380822.0,0.2872515799883106
FL-508,150694.0,174849.0,0.16029171698939573,745.6892908808579,1123.2659380379641,25411.0,0.06159585401799566,408022.0,452972.0,0.11016562832396293
FL-509,167373.0,221186.0,0.3215154176599571,712.4937713968203,1044.0485473764163,49058.0,0.08285844579188271,562946.0,689612.0,0.22500559556334
FL-510,502443.0,639641.0,0.2730618199477354,876.8215737904599,1277.2150112328634,80005.0,0.06789158052753552,1130625.0,1348596.0,0.19278805970149254
FL-511,151916.0,188905.0,0.24348324073830274,717.7525606256089,1051.6025197850772,35579.0,0.07514409358849532,451950.0,524395.0,0.16029428034074567
FL-512,57586.0,96027.0,0.6675407217031918,710.0,1134.0,26704.0,0.12229234024234986,191495.0,306934.0,0.602830361106034
FL-513,187556.0,238767.0,0.2730437842564354,849.0,1248.0,35446.0,0.06321932357499692,544019.0,632780.0,0.1631579044114268
FL-514,90547.0,117386.0,0.2964095994345478,651.0,963.0,28624.0,0.0841038840457071,331987.0,400078.0,0.20510140457307063
