coc_number,rent_2012,rent_2024,income_2012,income_2024,homeless_per_10k_2012,homeless_per_10k_2024,d_rent,d_income,d_homeless
FL-509,960.6003701953651,1526.0447846035163,45985.217873472764,74650.53688740915,29.11817859374736,11.839816237944836,565.4444144081511,28665.319013936387,-17.27836235580252
FL-510,942.4290821448315,1491.5262191197364,51255.14749275843,75413.12068032235,24.278209098091263,11.36264312560091,549.097136974905,24157.97318756392,-12.915565972490354
FL-511,897.3727536231884,1405.4006064131047,48441.428498727735,76743.19107542979,16.7273172720111,23.71815315210665,508.0278527899163,28301.76257670205,6.990835880095553
FL-512,1068.0,1922.0,64346.0,109839.0,63.4267867119737,20.24161713118583,854.0,45493.0,-43.18516958078787
FL-513,909.0,1556.0,49099.0,78476.0,36.77657428529133,19.904295296986,647.0,29377.0,-16.872278988305332
FL-514,835.0,1277.0,39770.0,61010.0,26.767271648141126,11.10650788473913,442.0,21240.0,-15.660763763401995
FL-515,799.9510698573978,1251.842154598648,43185.612702768965,65303.60412639309,10.673596770076804,16.54076021201343,451.8910847412502,22117.991423624124,5.867163441936627
FL-517,725.0498395535265,1008.9879325318828,35363.78602905886,55668.684047934665,52.23472757946094,25.38473114361976,283.9380929783564,20304.898018875807,-26.849996435841177
FL-518,699.090640926525,916.568030638984,37457.11847270489,57694.123894952056,87.43655292504909,39.05005372161091,217.47738971245906,20237.005422247166,-48.38649920343818
FL-519,909.0,1505.0,43787.0,70492.0,89.10323360160554,14.969998566484405,596.0,26705.0,-74.13323503512113
FL-520,885.2445581334724,1388.4397691996949,43399.054618431794,69175.42333623525,23.890169355646858,10.502054314059524,503.19521106622244,25776.36871780346,-13.388115041587334
FL-600,1071.0,1829.0,43464.0,71753.0,14.922583468509822,14.262026453807174,758.0,28289.0,-0.6605570147026487
FL-601,1165.0,1907.0,51603.0,77633.0,17.07819592441168,13.247271673695394,742.0,26030.0,-3.8309242507162864
FL-602,917.0,1464.0,44596.0,69952.0,44.56443569399088,20.219049527829192,547.0,25356.0,-24.34538616616169
FL-603,939.0,1712.0,48453.0,76107.0,11.468934020588279,13.8185235766627,773.0,27654.0,2.349589556074422
FL-604,1335.0,1999.0,53418.0,87738.0,119.51364944391155,58.33095688694164,664.0,34320.0,-61.182692556969904
FL-605,1152.0,1916.0,52806.0,83581.0,15.127716965848965,15.19920901200137,764.0,30775.0,0.07149204615240556
FL-606,1028.0,1862.0,56104.0,90045.0,13.065851893543458,18.952664285139964,834.0,33941.0,5.886812391596505
GA-500,959.4871056926556,1729.3431404212665,57217.81118552736,94319.05802226781,150.0696256081224,63.16981597687372,769.8560347286109,37101.24683674045,-86.89980963124869
GA-501,803.1759202697372,1298.6889656687201,49522.40239772284,77148.03896429065,16.216965326069065,9.68636929381505,495.51304539898297,27625.63656656781,-6.5305960322540155
GA-502,958.5018440690768,1730.166146473475,57570.00420278393,95074.35409283527,,5.874096792639184,771.6643024043982,37504.349890051344,
GA-503,763.0,1219.0,33846.0,53625.0,29.581192589132804,31.62975163270156,456.0,19779.0,2.048559043568755
GA-504,743.0,1141.0,38952.0,55637.0,19.660606301323615,23.533149966735845,398.0,16685.0,3.8725436654122305
