coc_number,coc_name,total_population,overall_homeless,unsheltered_homeless,family_homeless,homeless_per_10k,unsheltered_per_10k,rent_coc,income_coc,saiz_elasticity,wrluri_coc
NY-602,"Newburgh, Middletown/Orange County CoC",376242.0,779.0,113.0,412.0,20.704759170959118,3.003386118508832,1680.0,97178.0,,0.4374142587184906
NY-603,"Nassau, Suffolk Counties CoC",2854931.0,4002.0,209.0,2320.0,14.017851920063917,0.7320667294586104,2253.5722094147523,138070.53290690223,0.7588299512863159,1.5195613714862417
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",972484.0,1611.0,50.0,988.0,16.5658252475105,0.5141472764590471,1950.436246463935,118999.3220994096,0.7588299512863159,1.2086762189865112
NY-606,Rockland County CoC,322642.0,130.0,36.0,38.0,4.029233639761718,1.1157877771647833,1901.0,109959.0,0.7588299512863159,2.539504051208496
NY-607,Sullivan County CoC,,,,,,,1106.0,72382.0,,-0.8243056535720825
NY-608,Kingston/Ulster County CoC,180505.0,617.0,64.0,284.0,34.18187861832082,3.545608154898756,1425.0,86271.0,,0.9762427806854248
OH-500,Cincinnati/Hamilton County CoC,809554.0,1031.0,70.0,258.0,12.735407397159424,0.864673635112667,1075.1445222563038,72528.89281944383,2.460951328277588,-0.07664433763556751
OH-501,Toledo/Lucas County CoC,434800.0,563.0,12.0,221.0,12.948482060717572,0.27598896044158233,934.0,62224.0,2.2091424465179443,-1.1685115098953247
OH-502,Cleveland/Cuyahoga County CoC,1258710.0,1637.0,115.0,421.0,13.00537852245553,0.9136337996838033,1060.0,64468.0,1.0249236822128296,-0.672866702079773
OH-503,Columbus/Franklin County CoC,1272193.0,2380.0,514.0,760.0,18.70785328955591,4.040267475139386,1301.3842825296147,76215.4532380735,2.713189125061035,-0.04501265349973274
OH-504,Youngstown/Mahoning County CoC,233015.0,253.0,30.0,76.0,10.857670107074652,1.2874707636847416,791.0,56942.0,2.6291556358337402,0.08293437957763672
OH-505,"Dayton, Kettering/Montgomery County CoC",536856.0,781.0,92.0,172.0,14.547662687946115,1.7136811360960853,1028.8548310004073,66513.90322448035,3.6953740911296213,-0.747553622777134
OH-506,Akron/Summit County CoC,541372.0,695.0,211.0,141.0,12.837752968384033,3.897504858027382,1026.0,71622.0,2.5854928493499756,-0.7332900762557983
OH-507,Ohio Balance of State CoC,6125679.0,4089.0,1270.0,1173.0,6.675178376144098,2.073239554341649,980.8936651265208,76176.17792336337,2.385540645667346,-0.2682569371146147
OH-508,"Canton, Massillon, Alliance/Stark County CoC",374762.0,330.0,65.0,135.0,8.805588613573414,1.7344341208553695,909.0,67934.0,3.0307304859161377,-0.6823269724845886
