cycle_or_week,period_label,year,geography,geo_type,eviction_risk_share,behind_on_rent_share
wk47,2022 Week 47,2022,Seattle Metro Area,metro,0.432311,0.10412
wk47,2022 Week 47,2022,TN,state,0.392675,0.090283
wk47,2022 Week 47,2022,TX,state,0.505911,0.11921
wk47,2022 Week 47,2022,US,US,0.496772,0.147395
wk47,2022 Week 47,2022,UT,state,0.561312,0.143157
wk47,2022 Week 47,2022,VA,state,0.519189,0.15578
wk47,2022 Week 47,2022,VT,state,0.656061,0.040518
wk47,2022 Week 47,2022,WA,state,0.505438,0.091929
wk47,2022 Week 47,2022,WI,state,0.31506,0.107104
wk47,2022 Week 47,2022,WV,state,,0.282075
wk47,2022 Week 47,2022,WY,state,0.440278,0.149528
wk47,2022 Week 47,2022,Washington DC Metro Area,metro,0.512159,0.122402
wk48,2022 Week 48,2022,AK,state,0.341693,0.081095
wk48,2022 Week 48,2022,AL,state,0.404769,0.22957
wk48,2022 Week 48,2022,AR,state,0.495901,0.175624
wk48,2022 Week 48,2022,AZ,state,0.597427,0.086486
wk48,2022 Week 48,2022,Atlanta Metro Area,metro,0.388626,0.140189
wk48,2022 Week 48,2022,Boston Metro Area,metro,0.387458,0.101817
wk48,2022 Week 48,2022,CA,state,0.500093,0.138914
wk48,2022 Week 48,2022,CO,state,0.516524,0.093772
wk48,2022 Week 48,2022,CT,state,0.432585,0.204863
wk48,2022 Week 48,2022,Chicago Metro Area,metro,0.593668,0.172968
wk48,2022 Week 48,2022,DC,state,0.683284,0.103544
wk48,2022 Week 48,2022,DE,state,,0.188568
wk48,2022 Week 48,2022,Dallas Metro Area,metro,0.680735,0.144526
wk48,2022 Week 48,2022,Detroit Metro Area,metro,0.520374,0.09329
wk48,2022 Week 48,2022,FL,state,0.43888,0.168797
wk48,2022 Week 48,2022,GA,state,0.4356,0.122969
wk48,2022 Week 48,2022,HI,state,0.2836,0.077201
wk48,2022 Week 48,2022,Houston Metro Area,metro,0.49728,0.183873
wk48,2022 Week 48,2022,IA,state,0.354991,0.113403
wk48,2022 Week 48,2022,ID,state,0.3434,0.030067
wk48,2022 Week 48,2022,IL,state,0.57617,0.150738
wk48,2022 Week 48,2022,IN,state,0.444472,0.095643
wk48,2022 Week 48,2022,KS,state,0.340142,0.101279
wk48,2022 Week 48,2022,KY,state,0.486741,0.175477
wk48,2022 Week 48,2022,LA,state,0.362244,0.172259
wk48,2022 Week 48,2022,Los Angeles Metro Area,metro,0.474633,0.132342
wk48,2022 Week 48,2022,MA,state,0.350504,0.080644
wk48,2022 Week 48,2022,MD,state,0.108144,0.175067
wk48,2022 Week 48,2022,ME,state,,0.125294
wk48,2022 Week 48,2022,MI,state,0.434,0.067124
wk48,2022 Week 48,2022,MN,state,0.326271,0.151127
wk48,2022 Week 48,2022,MO,state,,0.083459
wk48,2022 Week 48,2022,MS,state,0.287543,0.106197
wk48,2022 Week 48,2022,MT,state,0.203613,0.03278
