# contract_version=1.1 mode=production target_season=2025-26 train_seasons=2019-20-2020-21-2021-22-2022-23-2023-24-2024-25 source=v6.1_LOCKED_forward_rookie_aware note=as_if_25-26_unplayed
source,player_name,team,position,nba_api_id,games_proj,minutes_proj,PTS_proj,PTS_stddev_per_game,REB_proj,REB_stddev_per_game,AST_proj,AST_stddev_per_game,STL_proj,STL_stddev_per_game,BLK_proj,BLK_stddev_per_game,TOV_proj,TOV_stddev_per_game,FGM_proj,FGM_stddev_per_game,FGA_proj,FGA_stddev_per_game,FG_pct_proj,FTM_proj,FTM_stddev_per_game,FTA_proj,FTA_stddev_per_game,FT_pct_proj,3PM_proj,3PM_stddev_per_game,3PA_proj,3PA_stddev_per_game,3P_pct_proj,projection_method,years_in_league,draft_year,draft_pick,draft_round,pre_nba_league,pre_nba_team,cohort_size_n,auction_value_seed,resolve_value
nba_projections,Wendell Carter Jr.,ORL,Center,1628976,68.0,25.8824,9.0490,2.2218,7.0509,0.7223,1.6829,0.6665,0.6674,0.2104,0.6093,0.1744,1.2767,0.3432,3.5380,0.8030,7.4085,1.5807,0.4776,1.8587,0.6878,2.5029,0.7482,0.7426,0.7013,0.4356,2.3517,1.0172,0.2982,cohort_regression,7,2018,7,1,NCAA_D1,Duke,,1.00,1.00
nba_projections,Bruno Fernando,TOR,Forward,1628981,17.0,8.5294,3.4118,0.7186,3.0000,0.2380,1.0588,0.1799,0.2353,0.0693,0.5294,0.0575,0.8235,0.1131,1.3796,0.2364,2.6922,0.4940,0.5124,0.6527,0.3795,0.8725,0.2466,0.7481,0.0000,0.0131,0.0000,0.2916,,cohort_regression,6,2019,34,2,NCAA_D1,Maryland,,1.00,1.00
nba_projections,Jaren Jackson Jr.,MEM,Forward,1628991,74.0,29.7838,20.6081,2.4630,4.6902,0.8312,1.9079,0.6282,0.9804,0.2421,1.3249,0.2006,1.8019,0.3949,7.3707,0.9040,15.3719,1.7136,0.4795,4.0800,0.7716,5.1866,0.8609,0.7866,1.7867,0.3846,4.9304,0.9989,0.3624,cohort_regression,7,2018,4,1,NCAA_D1,Michigan State,,21.13,21.13
nba_projections,Kevin Knox II,GSW,Forward,1628995,14.0,6.0000,3.4024,0.5270,1.2143,0.1674,0.3571,0.1265,0.1429,0.0488,0.2857,0.0404,0.2857,0.0795,1.2879,0.1873,2.7711,0.3502,0.4648,0.3795,0.1278,0.4842,0.1734,0.7838,0.4471,0.1438,1.2903,0.2098,0.3465,cohort_regression,7,,,,G_LEAGUE,SCW,,1.00,1.00
nba_projections,Caleb Martin,PHI,Forward,1628997,45.0,27.0667,6.9666,2.2950,3.6886,0.7554,2.2431,0.5708,1.1963,0.2200,0.6480,0.1823,0.8972,0.3589,2.5494,0.8092,5.8934,1.7765,0.4326,1.1011,0.7572,1.5912,0.7824,0.6920,0.7666,0.5314,2.1448,1.2470,0.3574,cohort_regression,6,,,,G_LEAGUE,GBO,,1.00,1.00
nba_projections,Cody Martin,CHA,Forward,1628998,53.0,22.1321,6.2496,2.0260,4.6744,0.6176,2.1464,0.4668,1.1925,0.1799,0.6201,0.1491,1.0494,0.2934,2.3791,0.7516,5.6609,1.3689,0.4203,0.7364,0.4327,1.0056,0.6397,0.7323,0.7551,0.5367,2.4822,0.8963,0.3042,cohort_regression,6,2019,36,2,NCAA_D1,Nevada,,1.00,1.00
nba_projections,Shake Milton,LAL,Guard,1629003,57.0,14.6491,4.9893,1.2707,2.2112,0.2956,1.7505,0.3772,0.4607,0.1191,0.1382,0.0653,0.9213,0.1942,1.8275,0.4928,4.0665,0.9898,0.4494,0.7784,0.2707,0.9772,0.4234,0.7966,0.5559,0.3385,1.5811,0.7146,0.3516,cohort_regression,7,2018,54,2,G_LEAGUE,DEL,,1.00,1.00
nba_projections,Svi Mykhailiuk,UTA,Guard,1629004,37.0,20.5135,7.4876,1.7404,2.2428,0.4139,2.1334,0.5283,0.2735,0.1668,0.1094,0.0915,1.1488,0.2720,2.6405,0.5984,6.4379,1.2833,0.4102,0.6236,0.4689,0.8052,0.5930,0.7745,1.5830,0.3368,4.4194,0.8529,0.3582,cohort_regression,7,2018,47,2,G_LEAGUE,RAP,,1.00,1.00
nba_projections,Michael Porter Jr.,DEN,Forward,1629008,77.0,33.7013,18.0601,2.8710,7.5423,0.9405,1.8059,0.7108,0.6108,0.2740,0.5843,0.2270,1.3544,0.4468,6.8342,1.0640,13.7693,1.9901,0.4963,1.7576,0.6793,2.2542,0.9742,0.7797,2.6341,0.5627,6.6974,1.2159,0.3933,cohort_regression,7,2018,14,1,NCAA_D1,SE Missouri St,,29.83,29.83
nba_projections,Mitchell Robinson,NYK,Center,1629011,17.0,17.0588,4.5306,1.4373,5.9412,0.4761,0.7647,0.4393,0.9412,0.1387,1.0588,0.1149,0.5882,0.2262,2.1823,0.5300,3.8126,0.9880,0.5724,0.7530,0.4042,1.1017,0.4931,0.6835,0.0000,0.2613,0.0000,0.5832,,cohort_regression,7,2018,36,2,OTHER_INTL,nan,,1.00,1.00
