nba_api_id,real_id,name,cohort,pos_class,ypb,gp_train,gp_eval,K_prior,v6_3_A_qualifies,PTS_v6_1_proj,PTS_v6_3_A_proj,PTS_pg_train,PTS_pg_eval,REB_v6_1_proj,REB_v6_3_A_proj,REB_pg_train,REB_pg_eval,AST_v6_1_proj,AST_v6_3_A_proj,AST_pg_train,AST_pg_eval
1630590,1630590,Scotty Pippen Jr.,soph,Guard,1-3,0,10,50.0,False,9.664189731790312,9.664189731790312,,11.4,3.296288620348818,3.296288620348818,,2.2,4.287855115900903,4.287855115900903,,4.7
1630591,1630591,Jalen Suggs,vet,Guard,4-7,21,36,50.0,True,18.346916440995,17.48374397253169,15.428571428571429,12.833333333333334,3.736374549819928,3.7298412322675545,3.7142857142857144,3.9444444444444446,3.8569027611044415,4.124579409228479,4.761904761904762,5.888888888888889
1630592,1630592,Jalen Wilson,soph,Forward,1-3,21,33,50.0,True,10.05313591754988,8.530377406725268,4.904761904761905,7.2727272727272725,3.7129389333192098,2.9105203755769082,1.0,2.8181818181818183,2.071712303373762,1.6138819037843393,0.5238095238095238,1.1818181818181819
1630595,1630595,Cade Cunningham,vet,Guard,4-7,27,37,50.0,True,28.620827113703804,27.83170591798948,26.37037037037037,22.135135135135137,5.5476427386875145,5.836131648498386,6.37037037037037,4.945945945945946,8.858801231935562,9.038182618139976,9.37037037037037,10.297297297297296
1630596,1630596,Evan Mobley,vet,Center,4-7,25,40,50.0,True,17.44957291681314,17.99304861120876,19.08,17.575,9.684575298951206,9.54971686596747,9.28,8.85,3.361117309636008,3.6140782064240056,4.12,3.275
1630598,1630598,Aaron Wiggins,vet,Guard,4-7,17,48,50.0,True,13.055726586945235,12.623676557421819,11.352941176470589,8.708333333333334,3.965705197912136,3.705750147695624,2.9411764705882355,3.1041666666666665,1.899739016963897,1.8654768783312665,1.7647058823529411,1.6458333333333333
1630604,1630604,E.J. Liddell,soph,Forward,1-3,7,19,20.0,True,1.7788461538461535,1.836182336182336,2.0,7.0,0.75,0.8888888888888888,1.2857142857142858,3.1578947368421053,0.25,0.18518518518518517,0.0,1.263157894736842
1630611,1630611,Gui Santos,soph,Forward,1-3,23,45,50.0,True,4.036148224277721,3.7918823453956993,3.260869565217391,12.222222222222221,3.173518328194588,2.8037796768456085,2.0,4.888888888888889,1.6358341897910242,1.325913828623989,0.6521739130434783,3.2
1630625,1630625,Dalano Banton,vet,Forward,4-7,0,6,50.0,False,7.450149538361732,7.450149538361732,,2.0,1.859038142620232,1.859038142620232,,0.8333333333333334,2.3818926202321724,2.3818926202321724,,1.8333333333333333
1630631,1630631,Jose Alvarado,vet,Guard,4-7,29,40,50.0,True,10.617403477567512,9.78316675795412,8.344827586206897,6.7,2.6442121564072782,2.698868453422328,2.793103448275862,2.25,4.594318621757647,4.097670013770663,3.2413793103448274,3.5
1630639,1630639,A.J. Lawson,soph,Guard,1-3,2,21,50.0,True,8.762257094072691,8.656016436608356,6.0,4.238095238095238,3.273940345368917,3.244173409008574,2.5,1.8095238095238095,1.2943485086342232,1.244565873686753,0.0,0.3333333333333333
1630643,1630643,Jay Huff,vet,Center,4-7,30,52,50.0,True,6.002349867165801,6.726468666978626,7.933333333333334,10.48076923076923,1.974587912087912,2.784117445054945,4.133333333333334,3.8461538461538463,0.6009615384615385,0.8631009615384617,1.3,1.5769230769230769
1630649,1630649,Stanley Umude,soph,Guard,1-3,0,2,47.0,False,1.1323986116185607,1.1323986116185607,,1.0,0.515810276679842,0.515810276679842,,0.0,0.1719367588932806,0.1719367588932806,,0.5
1630658,1630658,Colin Castleton,soph,Center,1-3,0,4,41.0,False,5.08815471423371,5.08815471423371,,1.25,4.941791044776118,4.941791044776118,,2.0,1.1552238805970148,1.1552238805970148,,0.25
1630692,1630692,Jordan Goodwin,vet,Guard,4-7,27,43,50.0,True,4.541055864605796,5.90977653545831,8.444444444444445,8.86046511627907,4.332601880877744,4.228962260310223,4.037037037037037,5.395348837209302,1.86896551724138,1.9278996865203768,2.037037037037037,2.2325581395348837
1630695,1630695,Micah Potter,vet,Center,4-7,0,47,50.0,False,4.226719692489651,4.226719692489651,,9.74468085106383,4.580682475419318,4.580682475419318,,4.957446808510638,0.8143435511856564,0.8143435511856564,,1.4680851063829787
1630696,1630696,Dru Smith,soph,Guard,1-3,30,40,38.0,True,5.714285714285714,6.031512605042017,6.433333333333334,5.05,2.571428571428571,2.5252100840336134,2.466666666666667,2.475,1.6428571428571428,2.1974789915966384,2.9,2.325
1630699,1630699,MarJon Beauchamp,vet,Forward,4-7,0,14,50.0,False,2.486785009861933,2.486785009861933,,6.785714285714286,1.465201465201465,1.465201465201465,,2.2857142857142856,0.5274725274725275,0.5274725274725275,,1.0714285714285714
1630700,1630700,Dyson Daniels,vet,Guard,4-7,30,46,50.0,True,14.77495452251832,13.55934657657395,11.533333333333333,12.065217391304348,6.812817027147669,6.670510641967293,6.433333333333334,7.108695652173913,5.168343951629265,5.367714969768291,5.7,6.043478260869565
1630702,1630702,Jaden Hardy,vet,Guard,4-7,22,35,50.0,True,9.45828882491747,8.304367239526023,5.681818181818182,11.371428571428572,1.489049420937966,1.4090620978735877,1.2272727272727273,1.6857142857142857,1.489049420937966,1.1868398756513654,0.5,1.3428571428571427
1630703,1630703,Scoot Henderson,vet,Guard,4-7,0,30,50.0,False,13.06755623610048,13.06755623610048,,14.233333333333333,3.0792227204783265,3.0792227204783265,,2.6666666666666665,5.052316890881913,5.052316890881913,,3.7333333333333334
1630811,1630811,Keaton Wallace,soph,Guard,1-3,26,26,31.0,True,6.081308752448624,5.237203005717673,4.230769230769231,2.923076923076923,1.7921713629988527,1.6413563553151655,1.4615384615384615,0.6923076923076923,3.264312125462196,2.9858539629706677,2.6538461538461537,0.9615384615384616
1631093,1631093,Jaden Ivey,soph,Guard,1-3,15,22,50.0,True,17.279717516046354,15.13824424311258,8.0,8.909090909090908,4.053462157809983,3.6257401213922953,2.2,2.6363636363636362,3.981078904991948,3.431599157686114,1.6,2.0
1631094,1631094,Paolo Banchero,soph,Forward,1-3,20,52,50.0,True,27.74232099201268,25.6730864228662,20.5,22.865384615384617,7.524947858174234,7.789248470124452,8.45,8.365384615384615,4.3965987485961815,4.411856248997273,4.45,5.461538461538462
1631095,1631095,Jabari Smith Jr.,soph,Forward,1-3,29,48,50.0,True,12.607207280328277,13.789371696410301,15.827586206896552,15.75,7.420406845334193,7.228105598312779,6.896551724137931,6.854166666666667,1.0336885157679472,1.3630939973214855,1.9310344827586208,1.8125
1631096,1631096,Chet Holmgren,soph,Center,1-3,25,44,50.0,True,13.396468598300968,14.997645732200647,18.2,16.5,7.288085937499999,7.405390625,7.64,9.636363636363637,2.0823102678571423,1.9082068452380947,1.56,1.7272727272727273
1631097,1631097,Bennedict Mathurin,soph,Guard,1-3,19,35,50.0,True,17.562492639600777,17.798907709855637,18.42105263157895,17.114285714285714,4.940600069372181,5.159855122733465,5.7368421052631575,5.257142857142857,2.1129610359579134,2.0963485767810965,2.0526315789473686,2.5714285714285716
1631098,1631098,Johnny Davis,soph,Guard,1-3,0,0,50.0,False,2.0928371348539416,2.0928371348539416,,,0.936374549819928,0.936374549819928,,,0.432172869147659,0.432172869147659,,
1631099,1631099,Keegan Murray,soph,Forward,1-3,15,8,50.0,True,13.294771251127017,13.672900962405398,14.933333333333334,12.125,6.256804361501363,6.289849508847202,6.4,4.5,1.5300482281400714,1.515421713953901,1.4666666666666666,2.0
1631101,1631101,Shaedon Sharpe,soph,Guard,1-3,26,24,50.0,True,19.65977029175,20.486690981414473,22.076923076923077,19.5,5.12022182610418,4.881724885594855,4.423076923076923,4.25,2.8383838383838382,2.6963051568314724,2.423076923076923,2.875
1631102,1631102,TyTy Washington Jr.,soph,Guard,1-3,0,15,50.0,False,2.3517117834394905,2.3517117834394905,,1.4,0.8124999999999998,0.8124999999999998,,0.4,1.0,1.0,,1.1333333333333333
1631103,1631103,Malaki Branham,soph,Forward,1-3,14,12,50.0,True,5.843215691686399,5.502512259129999,4.285714285714286,5.666666666666667,1.1373276776246024,1.2791622481442206,1.7857142857142858,1.5833333333333333,0.6823966065747614,0.7049973488865323,0.7857142857142857,1.0
1631104,1631104,Blake Wesley,soph,Guard,1-3,6,25,50.0,True,3.6255714711039073,3.879974527771346,6.0,4.48,1.117117117117117,1.2474259974259974,2.3333333333333335,1.0,1.7638691322901847,1.9141688681162363,3.1666666666666665,1.72
1631105,1631105,Jalen Duren,soph,Center,1-3,27,43,50.0,True,12.569240928882436,14.655351252521063,18.51851851851852,20.11627906976744,10.66788824383164,10.810317041449117,11.074074074074074,10.186046511627907,2.95645863570392,2.5561419712363116,1.8148148148148149,2.0697674418604652
1631106,1631106,Tari Eason,soph,Forward,1-3,16,44,50.0,True,11.723317393783026,11.66917984377502,11.5,10.068181818181818,6.108734897930842,5.885405225705184,5.1875,6.659090909090909,1.6749756978197468,1.6325573468331416,1.5,1.5
1631107,1631107,Nikola Jović,soph,Forward,1-3,18,28,50.0,True,11.056788721224656,10.144697589135777,7.611111111111111,7.392857142857143,3.570604078491728,3.6107382930086236,3.7222222222222223,3.0714285714285716,3.1614723611645505,3.059906147915111,2.7777777777777777,1.8571428571428572
1631108,1631108,Max Christie,soph,Guard,1-3,29,48,50.0,True,9.681175838181218,10.304541669734949,11.379310344827585,12.8125,3.787019635798069,3.5740630606316897,3.206896551724138,3.25,2.1574536106970816,2.0490212725930896,1.8620689655172413,2.0208333333333335
