nba_api_id,mpg_prior,mpg_prior_adj,latest_age
1626147,20.221153846153847,20.221153846153847,28.0
1626149,18.84458408170401,18.44458408170401,29.0
1626153,24.24069905403239,23.04069905403239,31.0
1626156,31.843673951423188,31.843673951423188,27.0
1626157,33.2388416988417,33.2388416988417,27.0
1626158,15.724701683952272,15.324701683952272,29.0
1626159,21.6734962734179,21.6734962734179,27.0
1626161,17.09433962264151,17.09433962264151,27.0
1626162,30.328024606971976,30.328024606971976,27.0
1626163,8.264775413711584,7.4647754137115845,30.0
1626164,34.47739304113647,34.47739304113647,26.0
1626166,20.388423645320195,20.388423645320195,28.0
1626167,29.644129443129344,29.644129443129344,27.0
1626168,18.939771412891616,18.939771412891616,27.0
1626169,17.820257611241217,17.820257611241217,27.0
1626171,25.85813234384663,25.85813234384663,28.0
1626172,22.39841206374593,22.39841206374593,27.0
1626174,28.24155610551465,28.24155610551465,27.0
1626179,34.699224379050804,34.299224379050806,29.0
1626181,30.24207394859569,29.442073948595688,30.0
1626184,20.414634146341463,20.414634146341463,28.0
1626192,24.211401000994726,23.411401000994726,30.0
1626195,14.252932330827068,13.852932330827068,29.0
1626196,24.19146659621003,23.791466596210032,29.0
1626204,23.089540854758248,22.289540854758247,30.0
1626220,31.54746799319499,30.747467993194988,30.0
1626224,21.475540601448593,21.475540601448593,28.0
1626246,8.212121212121213,6.3121212121212125,32.0
1627732,27.520032840722497,27.520032840722497,26.0
1627734,34.551413714041104,34.551413714041104,27.0
1627736,25.919143930058134,25.919143930058134,26.0
1627737,10.176470588235293,10.176470588235293,24.0
1627739,25.212121212121207,24.81212121212121,29.0
1627741,31.678319920701483,30.878319920701482,30.0
1627742,34.13854706313723,34.13854706313723,25.0
1627745,15.02377154327713,15.02377154327713,28.0
1627747,30.50632413653405,30.50632413653405,28.0
1627749,35.29731085657337,35.29731085657337,26.0
1627750,33.35230769230769,33.35230769230769,26.0
1627751,26.90661974191386,26.90661974191386,27.0
1627752,20.716698636529372,20.316698636529374,29.0
1627756,10.751026392961878,10.751026392961878,28.0
1627759,35.04576200947791,35.04576200947791,26.0
1627761,19.048669467787114,19.048669467787114,27.0
1627763,29.36909838562291,28.569098385622908,30.0
1627774,9.173856209150328,9.173856209150328,28.0
1627777,19.8929214060793,19.0929214060793,30.0
1627780,17.00640204865557,16.20640204865557,30.0
1627783,37.29334409820266,36.89334409820266,29.0
1627788,14.240029756447667,14.240029756447667,25.0
1627789,14.816534040671973,14.816534040671973,27.0
1627814,20.03428455308154,19.23428455308154,30.0
1627823,14.78807847925495,14.78807847925495,27.0
1627826,26.46313700918964,26.46313700918964,26.0
1627827,30.63982128982129,29.839821289821288,30.0
1627832,37.032799808886764,36.632799808886766,29.0
1627846,14.791666666666666,14.791666666666666,27.0
1627853,10.227272727272727,10.227272727272727,27.0
1627854,15.015757575757577,14.615757575757577,29.0
1627863,16.959617604617605,16.159617604617605,30.0
1627884,16.25593427025983,16.25593427025983,26.0
1627885,13.029411764705882,13.029411764705882,27.0
1627936,24.420941071406155,24.020941071406156,29.0
1628021,16.370531400966183,15.970531400966182,29.0
1628035,10.283559577677224,9.883559577677223,29.0
1628365,26.48690476190476,26.48690476190476,25.0
1628366,33.673593073593075,33.673593073593075,24.0
1628367,18.793344037366808,18.793344037366808,25.0
1628368,34.16261075737629,34.16261075737629,25.0
1628369,36.47504953261532,36.47504953261532,25.0
1628370,23.780945871171436,23.780945871171436,25.0
1628372,21.920546633590114,21.920546633590114,25.0
1628373,12.160420894830285,12.160420894830285,24.0
1628374,32.15632422864824,32.15632422864824,26.0
1628378,34.87367270197293,34.87367270197293,26.0
1628379,22.981809703165638,22.981809703165638,27.0
1628380,21.224867724867725,21.224867724867725,25.0
1628381,30.132275132275133,30.132275132275133,25.0
1628382,16.7277183600713,16.7277183600713,26.0
1628383,19.0,19.0,24.0
1628384,35.39619179848267,35.39619179848267,25.0
1628385,9.157894736842104,9.157894736842104,23.0
1628386,31.30661894387385,31.30661894387385,25.0
1628389,33.88899234693878,33.88899234693878,25.0
1628391,13.316149068322982,13.316149068322982,25.0
1628392,17.148408956489398,17.148408956489398,25.0
1628396,13.72896103896104,13.72896103896104,24.0
1628398,33.63723898650369,33.63723898650369,27.0
1628400,14.966190476190476,14.966190476190476,27.0
1628401,28.801520167791946,28.801520167791946,28.0
1628402,20.791509433962265,20.791509433962265,24.0
1628404,32.054733028777505,32.054733028777505,28.0
1628407,25.73611111111111,25.73611111111111,25.0
1628408,19.845925925925926,19.845925925925926,25.0
1628410,14.358490566037736,14.358490566037736,27.0
1628411,13.20417501276462,13.20417501276462,26.0
1628414,10.333333333333334,10.333333333333334,26.0
1628415,29.490505520343486,29.490505520343486,27.0
1628418,17.59956139410735,17.59956139410735,25.0
1628420,27.796118573716377,27.796118573716377,28.0
1628422,19.717391304347824,19.717391304347824,27.0
1628425,16.57689742563692,16.57689742563692,27.0
1628427,13.224065040650407,13.224065040650407,26.0
1628432,9.585459579180508,9.585459579180508,28.0
1628436,11.985559191730298,11.985559191730298,27.0
1628449,20.94636591478697,20.14636591478697,30.0
1628455,18.153846153846153,17.353846153846153,30.0
1628464,21.996198706559483,21.196198706559482,30.0
1628467,25.216154701917414,24.016154701917415,31.0
1628470,20.59798493997088,18.69798493997088,32.0
1628539,13.667320261437908,13.667320261437908,28.0
1628778,11.0,11.0,26.0
1628960,27.06464646464647,27.06464646464647,27.0
1628962,9.972222222222221,9.972222222222221,23.0
1628963,24.188541561797376,24.188541561797376,24.0
1628964,17.994093527852602,17.994093527852602,25.0
1628966,18.193373327069256,18.193373327069256,27.0
1628969,35.16473829243934,35.16473829243934,26.0
1628970,33.39924242424242,33.39924242424242,24.0
1628971,26.507264957264958,26.507264957264958,26.0
1628972,19.68269140560162,19.68269140560162,23.0
1628973,32.685113285820655,32.685113285820655,26.0
1628975,17.105065809611265,17.105065809611265,27.0
1628976,28.339043297211568,28.339043297211568,24.0
1628977,20.61218343438171,20.61218343438171,24.0
1628978,24.89972837619897,24.89972837619897,26.0
1628981,10.594965369158919,10.594965369158919,24.0
1628983,35.02701080432173,35.02701080432173,24.0
1628984,21.79873259124691,21.79873259124691,28.0
1628988,15.342599258342052,15.342599258342052,26.0
1628989,29.634294667338146,29.634294667338146,24.0
1628990,14.753333333333334,14.753333333333334,25.0
1628991,27.35588221302507,27.35588221302507,23.0
1628995,14.076613756613757,14.076613756613757,23.0
1628997,25.462531161813647,25.462531161813647,27.0
1628998,22.963434452871073,22.963434452871073,26.0
1629001,25.311675115491163,25.311675115491163,25.0
1629002,13.992352092352093,13.992352092352093,26.0
1629003,21.219555381961396,21.219555381961396,26.0
1629004,18.06526222315696,18.06526222315696,26.0
1629006,16.629273662653116,16.629273662653116,24.0
1629008,29.461878740567265,29.461878740567265,25.0
1629010,17.941176470588236,17.941176470588236,24.0
1629011,26.65403941784478,26.65403941784478,25.0
1629012,26.874458874458874,26.874458874458874,24.0
1629013,20.764596273291925,20.764596273291925,26.0
1629014,30.899567467054734,30.899567467054734,24.0
1629018,32.43562807899621,32.43562807899621,24.0
1629020,23.84402359089859,23.84402359089859,24.0
1629021,18.371688480460406,18.371688480460406,26.0
1629022,23.438095238095237,23.438095238095237,24.0
1629023,30.763172700587084,30.763172700587084,24.0
1629026,22.340004367343607,22.340004367343607,28.0
1629027,34.678929875242574,34.678929875242574,24.0
1629028,30.17338239195967,30.17338239195967,24.0
1629029,35.71168831168831,35.71168831168831,24.0
1629033,8.075,8.075,27.0
1629035,8.903225806451612,8.903225806451612,23.0
1629048,12.547208020050126,12.547208020050126,23.0
1629052,19.721000960659808,19.721000960659808,25.0
1629056,15.76898991432234,15.76898991432234,26.0
1629057,24.608753892477548,24.608753892477548,25.0
1629060,23.738618262828787,23.738618262828787,25.0
1629067,10.8,10.8,21.0
