,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"zone_fga_per_36_intrinsic[180,6]",2.60064,0.018043,0.710571,0.62198,1.67357,2.50791,3.92235,2191.65,1113.49,1.00153
"zone_fga_per_36_intrinsic[181,1]",2.44374,0.0104543,0.425172,0.382985,1.84304,2.39082,3.24503,2010.6,908.568,1.00838
"zone_fga_per_36_intrinsic[181,2]",2.55152,0.012124,0.543539,0.512624,1.83192,2.47555,3.51856,2382.92,1155.45,1.00451
"zone_fga_per_36_intrinsic[181,3]",3.08369,0.0241268,0.962265,0.755281,1.88031,2.90684,4.76801,2257.61,1123.48,1.00066
"zone_fga_per_36_intrinsic[181,4]",0.581085,0.0035121,0.157594,0.147058,0.365866,0.559432,0.868446,2825.64,997.822,1.00928
"zone_fga_per_36_intrinsic[181,5]",0.381569,0.00244239,0.11441,0.106437,0.231522,0.364092,0.582117,2744.38,1366.4,1.00273
"zone_fga_per_36_intrinsic[181,6]",7.91743,0.0450539,1.96775,1.78844,5.25922,7.66559,11.5492,2407.15,1210.84,1.00189
"zone_fga_per_36_intrinsic[182,1]",5.56438,0.0179379,0.852304,0.793028,4.3502,5.47067,7.05649,2631.64,988.14,1.00536
"zone_fga_per_36_intrinsic[182,2]",3.61515,0.0152178,0.755228,0.669935,2.57534,3.52612,4.98141,3055.63,1055.27,1.00219
"zone_fga_per_36_intrinsic[182,3]",1.73393,0.0105815,0.508358,0.457056,1.05769,1.64428,2.67786,2963.76,969.015,1.00327
"zone_fga_per_36_intrinsic[182,4]",0.339125,0.0020664,0.0935,0.084592,0.206389,0.325948,0.509719,2195.9,1200.03,1.00324
"zone_fga_per_36_intrinsic[182,5]",0.190139,0.00136063,0.0619323,0.0580779,0.104632,0.180288,0.308615,2164.39,877.922,1.00385
"zone_fga_per_36_intrinsic[182,6]",5.22125,0.0255353,1.19272,1.08306,3.59864,5.06029,7.30249,2665.27,1298.72,1.00079
"zone_fga_per_36_intrinsic[183,1]",5.28004,0.026826,1.06101,0.988627,3.7943,5.14722,7.25327,1674.98,1161.98,1.00088
"zone_fga_per_36_intrinsic[183,2]",3.49978,0.0200265,0.894055,0.828425,2.26218,3.38165,5.10167,2224.62,1296.49,1.00493
"zone_fga_per_36_intrinsic[183,3]",1.00704,0.00932845,0.411755,0.335614,0.50526,0.920858,1.8065,2593.6,1292.4,1.00008
"zone_fga_per_36_intrinsic[183,4]",0.146576,0.00160142,0.0672135,0.0571743,0.065751,0.133355,0.271708,1842.1,1182.24,1.00314
"zone_fga_per_36_intrinsic[183,5]",0.159627,0.00176669,0.0785897,0.0645256,0.0651772,0.142223,0.30927,2623.68,1242.33,1.00018
"zone_fga_per_36_intrinsic[183,6]",0.281875,0.00312468,0.137022,0.109519,0.115133,0.2523,0.562429,2406.38,1241.8,0.999541
