row_idx,nba_api_id,season,role_mode
537,204456,2021-22,team
538,204456,2022-23,team
539,1626144,2019-20,league_fallback
540,1626145,2019-20,league_fallback
541,1626145,2020-21,team
542,1626145,2021-22,team
543,1626145,2022-23,team
544,1626149,2019-20,league_fallback
545,1626149,2020-21,trade
546,1626149,2021-22,trade
547,1626149,2022-23,trade
548,1626153,2019-20,league_fallback
549,1626153,2020-21,trade
550,1626153,2021-22,trade
551,1626153,2022-23,trade
552,1626156,2019-20,league_fallback
553,1626156,2020-21,trade
554,1626156,2021-22,team
555,1626156,2022-23,team
556,1626157,2019-20,league_fallback
557,1626157,2020-21,team
558,1626157,2021-22,team
559,1626157,2022-23,team
560,1626158,2019-20,league_fallback
561,1626158,2020-21,team
562,1626158,2021-22,team
563,1626159,2020-21,trade
564,1626159,2021-22,trade
565,1626159,2022-23,trade
566,1626161,2019-20,league_fallback
567,1626161,2020-21,trade
568,1626162,2019-20,league_fallback
569,1626162,2020-21,trade
570,1626162,2021-22,trade
571,1626162,2022-23,team
572,1626163,2019-20,league_fallback
573,1626163,2020-21,team
574,1626164,2019-20,league_fallback
575,1626164,2020-21,team
576,1626164,2021-22,team
577,1626164,2022-23,team
578,1626166,2020-21,team
579,1626166,2021-22,team
580,1626166,2022-23,team
581,1626167,2019-20,league_fallback
582,1626167,2020-21,team
583,1626167,2021-22,team
584,1626167,2022-23,team
585,1626168,2019-20,league_fallback
586,1626168,2021-22,trade
587,1626168,2022-23,trade
588,1626169,2020-21,team
589,1626169,2021-22,trade
590,1626171,2019-20,league_fallback
591,1626171,2020-21,trade
592,1626171,2021-22,team
593,1626171,2022-23,team
594,1626172,2020-21,team
595,1626172,2021-22,team
596,1626172,2022-23,team
597,1626174,2019-20,league_fallback
598,1626174,2020-21,trade
599,1626174,2021-22,team
600,1626174,2022-23,trade
601,1626178,2019-20,league_fallback
602,1626179,2019-20,league_fallback
603,1626179,2020-21,team
604,1626179,2021-22,team
605,1626179,2022-23,team
606,1626181,2019-20,league_fallback
607,1626181,2020-21,team
608,1626181,2021-22,trade
609,1626181,2022-23,trade
610,1626184,2020-21,trade
611,1626188,2019-20,league_fallback
612,1626192,2019-20,league_fallback
613,1626192,2020-21,team
614,1626192,2021-22,team
615,1626192,2022-23,team
616,1626195,2020-21,trade
617,1626195,2021-22,team
618,1626196,2019-20,league_fallback
619,1626196,2020-21,trade
620,1626196,2021-22,trade
621,1626196,2022-23,trade
622,1626203,2019-20,league_fallback
623,1626204,2019-20,league_fallback
624,1626204,2020-21,team
625,1626204,2021-22,trade
626,1626204,2022-23,trade
627,1626208,2021-22,fa
628,1626209,2019-20,league_fallback
629,1626220,2019-20,league_fallback
630,1626220,2020-21,team
631,1626220,2021-22,team
632,1626220,2022-23,trade
633,1626224,2019-20,league_fallback
634,1626224,2020-21,team
635,1626224,2021-22,team
636,1626224,2022-23,team
637,1627732,2019-20,league_fallback
638,1627732,2020-21,team
639,1627732,2022-23,fa
640,1627734,2019-20,league_fallback
641,1627734,2020-21,team
642,1627734,2021-22,team
643,1627734,2022-23,trade
644,1627736,2019-20,league_fallback
645,1627736,2020-21,trade
646,1627736,2021-22,team
647,1627736,2022-23,trade
648,1627737,2019-20,league_fallback
649,1627739,2019-20,league_fallback
650,1627739,2022-23,trade
651,1627741,2019-20,league_fallback
652,1627741,2020-21,team
653,1627741,2021-22,team
654,1627741,2022-23,trade
655,1627742,2019-20,league_fallback
656,1627742,2020-21,team
657,1627742,2021-22,team
658,1627742,2022-23,team
659,1627745,2019-20,league_fallback
660,1627745,2020-21,trade
661,1627745,2021-22,team
662,1627746,2019-20,league_fallback
663,1627747,2019-20,league_fallback
664,1627747,2020-21,trade
665,1627747,2021-22,team
666,1627747,2022-23,trade
667,1627748,2019-20,league_fallback
668,1627749,2019-20,league_fallback
669,1627749,2020-21,team
670,1627749,2021-22,team
671,1627749,2022-23,trade
672,1627750,2019-20,league_fallback
673,1627750,2020-21,team
674,1627750,2022-23,fa
675,1627751,2019-20,league_fallback
676,1627751,2020-21,team
677,1627751,2021-22,team
678,1627751,2022-23,team
679,1627752,2019-20,league_fallback
680,1627752,2020-21,trade
681,1627752,2021-22,trade
682,1627752,2022-23,team
683,1627756,2020-21,team
684,1627759,2019-20,league_fallback
685,1627759,2020-21,team
686,1627759,2021-22,team
687,1627759,2022-23,team
688,1627761,2019-20,league_fallback
689,1627761,2020-21,trade
690,1627761,2021-22,trade
691,1627763,2019-20,league_fallback
692,1627763,2020-21,team
693,1627763,2021-22,team
694,1627763,2022-23,trade
695,1627774,2019-20,league_fallback
696,1627774,2020-21,team
697,1627775,2019-20,league_fallback
698,1627777,2019-20,league_fallback
699,1627777,2020-21,team
700,1627777,2021-22,trade
701,1627777,2022-23,team
702,1627780,2021-22,team
703,1627783,2019-20,league_fallback
704,1627783,2020-21,team
705,1627783,2021-22,team
706,1627783,2022-23,team
707,1627788,2019-20,league_fallback
708,1627788,2020-21,team
709,1627788,2021-22,team
710,1627789,2019-20,league_fallback
711,1627789,2020-21,team
712,1627789,2021-22,trade
713,1627812,2019-20,league_fallback
714,1627814,2019-20,league_fallback
715,1627814,2020-21,team
716,1627814,2021-22,team
717,1627814,2022-23,trade
718,1627823,2019-20,league_fallback
719,1627823,2020-21,trade
720,1627823,2022-23,trade
721,1627826,2019-20,league_fallback
722,1627826,2020-21,team
723,1627826,2021-22,team
724,1627826,2022-23,team
725,1627827,2019-20,league_fallback
726,1627827,2020-21,team
727,1627827,2021-22,team
728,1627827,2022-23,team
729,1627832,2019-20,league_fallback
730,1627832,2020-21,team
731,1627832,2021-22,team
732,1627832,2022-23,team
733,1627846,2019-20,league_fallback
734,1627853,2019-20,league_fallback
735,1627854,2019-20,league_fallback
736,1627854,2020-21,trade
737,1627854,2021-22,trade
738,1627863,2019-20,league_fallback
739,1627863,2020-21,team
740,1627863,2021-22,trade
741,1627863,2022-23,trade
742,1627884,2019-20,league_fallback
743,1627884,2020-21,trade
744,1627884,2021-22,trade
745,1627884,2022-23,team
746,1627936,2019-20,league_fallback
747,1627936,2020-21,team
748,1627936,2021-22,trade
749,1627936,2022-23,team
750,1628021,2020-21,trade
751,1628021,2021-22,team
752,1628035,2019-20,league_fallback
753,1628365,2019-20,league_fallback
754,1628365,2022-23,team
755,1628366,2019-20,league_fallback
756,1628366,2020-21,team
757,1628366,2021-22,trade
758,1628367,2020-21,trade
759,1628367,2021-22,team
760,1628368,2019-20,league_fallback
761,1628368,2020-21,team
762,1628368,2021-22,team
763,1628368,2022-23,team
764,1628369,2019-20,league_fallback
765,1628369,2020-21,team
766,1628369,2021-22,team
767,1628369,2022-23,team
768,1628370,2019-20,league_fallback
769,1628370,2020-21,team
770,1628370,2021-22,trade
771,1628370,2022-23,trade
772,1628371,2019-20,league_fallback
773,1628372,2019-20,league_fallback
774,1628372,2021-22,trade
775,1628372,2022-23,trade
776,1628373,2019-20,league_fallback
777,1628373,2021-22,trade
778,1628373,2022-23,team
779,1628374,2019-20,league_fallback
780,1628374,2020-21,team
781,1628374,2021-22,trade
782,1628374,2022-23,trade
783,1628378,2019-20,league_fallback
784,1628378,2020-21,team
785,1628378,2021-22,team
786,1628378,2022-23,trade
787,1628379,2019-20,league_fallback
788,1628379,2020-21,trade
789,1628379,2021-22,team
790,1628379,2022-23,team
791,1628380,2021-22,fa
792,1628380,2022-23,team
793,1628381,2019-20,league_fallback
794,1628381,2020-21,team
795,1628381,2021-22,team
796,1628381,2022-23,team
797,1628382,2019-20,league_fallback
798,1628382,2020-21,trade
799,1628384,2019-20,league_fallback
800,1628384,2020-21,team
801,1628384,2021-22,team
802,1628384,2022-23,team
803,1628385,2019-20,league_fallback
804,1628386,2019-20,league_fallback
805,1628386,2020-21,trade
806,1628386,2021-22,team
807,1628386,2022-23,team
808,1628389,2019-20,league_fallback
